sep=,
Date,Category,Device,Clicks,Cost,Sales,"Order value","Tracked leads","Cost of tracked leads"
14/09/21,Herrenmode,Computer,2,0.5,0,0.0,0,0.0
14/09/21,"Sportbekleidung Damen",Computer,14,3.7800000000000002,0,0.0,0,0.0
14/09/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,0,0.0
14/09/21,"Sportbekleidung Herren",Computer,64,17.27999999999999,0,0.0,0,0.0
14/09/21,"Sportbekleidung Herren",Mobile,7,1.4175000000000004,0,0.0,0,0.0
14/09/21,"Fahrradteile & Fahrradzubehör",Computer,8,4.0,0,0.0,0,0.0
14/09/21,"Fahrradteile & Fahrradzubehör",Mobile,5,1.875,0,0.0,0,0.0
15/09/21,"Sportbekleidung Damen",Computer,17,4.59,0,0.0,0,0.0
15/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,0,0.0
15/09/21,"Sportbekleidung Herren",Computer,72,19.439999999999994,0,0.0,0,0.0
15/09/21,"Sportbekleidung Herren",Mobile,3,0.6075,0,0.0,0,0.0
15/09/21,"Fahrradteile & Fahrradzubehör",Computer,10,5.0,0,0.0,0,0.0
15/09/21,"Sportschuhe Herren",Computer,1,0.25,0,0.0,0,0.0
19/09/21,Damenmode,Computer,1,0.25,0,0.0,0,0.0
19/09/21,"Sportbekleidung Damen",Computer,5,1.35,0,0.0,0,0.0
19/09/21,"Sportbekleidung Damen",Mobile,2,0.405,0,0.0,0,0.0
19/09/21,"Sportbekleidung Herren",Computer,73,19.70999999999999,0,0.0,0,0.0
19/09/21,"Sportbekleidung Herren",Mobile,7,1.4175000000000004,0,0.0,0,0.0
19/09/21,"Fahrradteile & Fahrradzubehör",Computer,39,19.5,0,0.0,0,0.0
19/09/21,"Fahrradteile & Fahrradzubehör",Mobile,1,0.375,0,0.0,0,0.0
21/09/21,Damenmode,Mobile,1,0.1875,0,0.0,1,0.1875
21/09/21,Damenunterwäsche,Computer,1,0.25,0,0.0,1,0.25
21/09/21,"Sportbekleidung Damen",Computer,7,1.8900000000000001,0,0.0,7,1.8900000000000001
21/09/21,"Sportbekleidung Damen",Mobile,3,0.6075,0,0.0,3,0.6075
21/09/21,"Sportbekleidung Herren",Computer,66,17.81999999999999,0,0.0,66,17.81999999999999
21/09/21,"Sportbekleidung Herren",Mobile,9,1.8225000000000007,0,0.0,9,1.8225000000000007
21/09/21,"Fahrradteile & Fahrradzubehör",Computer,27,13.5,0,0.0,27,13.5
21/09/21,"Sportschuhe Herren",Computer,1,0.25,0,0.0,1,0.25
22/09/21,"Sportbekleidung Damen",Computer,7,1.8900000000000001,0,0.0,7,1.8900000000000001
22/09/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,1,0.2025
22/09/21,"Sportbekleidung Herren",Computer,64,17.279999999999994,1,260.5,64,17.279999999999994
22/09/21,"Sportbekleidung Herren",Mobile,10,2.025000000000001,0,0.0,10,2.025000000000001
22/09/21,"Fahrradteile & Fahrradzubehör",Computer,25,12.5,0,0.0,25,12.5
23/09/21,Sonnenbrillen,Computer,1,0.25,0,0.0,1,0.25
23/09/21,"Sportbekleidung Damen",Computer,14,3.7800000000000002,0,0.0,14,3.7800000000000002
23/09/21,"Sportbekleidung Damen",Mobile,1,0.2025,0,0.0,1,0.2025
23/09/21,"Sportbekleidung Herren",Computer,40,10.799999999999992,0,0.0,40,10.799999999999992
23/09/21,"Sportbekleidung Herren",Mobile,10,2.0250000000000004,0,0.0,10,2.0250000000000004
23/09/21,"Fahrradteile & Fahrradzubehör",Computer,27,13.5,0,0.0,27,13.5
