Product Category (Enhanced E-commerce),Transaction ID,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Basket-to-Detail Rate,Buy-to-Detail Rate
Herren/Schuhe/Schnürer,DE01344848,959.7,4,4,239.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350190,959.7,4,4,239.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340802,949.8,4,4,237.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01348938,949.8,4,4,237.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01348427,939.8,4,4,234.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365398,939.8,4,4,234.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01334071,939.75,4,4,234.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347422,929.8,4,4,232.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361879,929.8,4,4,232.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368958,929.8,4,4,232.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349090,919.8,4,4,229.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349721,919.8,4,4,229.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347323,899.7,4,4,224.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350017,899.7,4,4,224.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01336474,889.8,4,4,222.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368521,889.8,4,4,222.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342899,889.75,4,4,222.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343291,889.75,4,4,222.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01336726,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337544,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342084,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342211,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347790,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349902,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365108,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366491,879.8,4,4,219.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347355,879.75,4,4,219.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337261,839.8,4,4,209.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337623,839.8,4,4,209.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368730,839.8,4,4,209.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341872,839.7,4,4,209.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350176,819.8,4,4,204.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350219,819.8,4,4,204.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343477,809.85,3,3,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343530,809.85,3,3,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353010,809.85,3,3,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360849,809.85,3,3,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366444,809.85,3,3,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360535,799.85,3,3,266.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366450,799.85,3,3,266.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01335754,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01336591,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340014,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344857,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346298,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346306,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361086,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01363855,799.8,4,4,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337946,789.85,3,3,263.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342430,789.85,3,3,263.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361709,789.85,3,3,263.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368078,789.85,3,3,263.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01339618,779.85,3,3,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342008,779.85,3,3,259.95,1,0,0.00%,0.00%
